year,Ministry,Employment_Status,NEC_Description,Male,Female,Total
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,General Programs,264,261,525
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,Arts and Humanities,80,135,215
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,"Social Sciences, Business, and Law",9971,21717,31688
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,"Science, Mathematics, and Computing",6724,12553,19277
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,"Manufacturing, and Construction",17744,9293,27037
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,Agriculture and Veterinary,431,487,918
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,Health and Welfare,3593,9309,12902
2013,KEMENTERIAN PENGAJIAN TINGGI,Employed,Service Industry,3092,5071,8163
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,General Programs,109,162,271
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,Arts and Humanities,63,92,155
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,Social Sciences, Business, and Law,4593,12542,17135
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,"Science, Mathematics, and Computing",2491,5637,8128
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,"Manufacturing, and Construction",8015,6077,14092
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,Agriculture and Veterinary,268,448,716
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,Health and Welfare,1834,6767,8601
2013,KEMENTERIAN PENGAJIAN TINGGI,Unemployed,Service Industry,1205,2785,3990
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,General Programs,110,210,320
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,Arts and Humanities,12,32,44
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,Social Sciences, Business, and Law,4650,11418,16068
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,"Science, Mathematics, and Computing",2336,3821,6157
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,"Manufacturing, and Construction",7023,4863,11886
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,Agriculture and Veterinary,390,440,830
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,Health and Welfare,1391,2364,3755
2013,KEMENTERIAN PENGAJIAN TINGGI,Pursuing Further Studies,Service Industry,1082,1963,3045
2013,KEMENTERIAN PENGAJIAN TINGGI,Craft enhancement,General Programs,11,12,23
